$100-a-plate dinner	tuluõhtu, heategevuslik bankett
water-logged	vesilastis, vett täis imbunud
waterlogged	vesilastis
waterloo	lõplik kaotus, hävitav lüüasaamine
Waterloo	Waterloo
water loss	veekaotus
water-loving	veelembene
water main	veetoru
waterman	jõelaevnik, paadimees
watermark	vesimärk, süvisemärk, veeseisumärk
water meadow	luht
water-melon	arbuus, vesimelon
watermelon	arbuus, vesimelon
water meter	veearvesti
watermill	vesiveski
water mill	vesiveski
water-nut	vesipähkel (Trapa natans)
water nymph	veenümf, veejumalanna, vesiroos
water oak	must tamm, roostepruun tamm (Quercus nigra)
water off a duck's back	vesi hane selga
water of life	eluvesi
water paint	vesivärv, akvarell
water-pipe	veetoru, vihmaveetoru
water pipe	veetoru
water pipit	mägikiur (Anthus spinoletta)
water pistol	veepüstol
waterplane	vesilennuk
water polo	veepall
waterproof	veekindel
waterproofing	impregneering, veekindlaks tegemine
waterproofness	veekindlus
water rail	rooruik (Rallus aquaticus)
water-repellent	mittemärguv, vetthülgav
water-resistant	vettpidav, veekindel
water scorpion	< Nepa
waterscrew	laevakruvi, sõukruvi
water-seal	haisulukk
watershed	veelahe, pöördepunkt, vesikond
watershoot	vesivõsu, vee ärajuhtimistoru
waterside	kaldaäärne
waterski	veesuusatama, veesuuskadel sõitma
water ski	veesuusk ; veesuusatama
waterskier	veesuusataja
waterskiing	veesuusatamine
water sky	veetaevas
water slide	veeliumägi
water-soluble	vees lahustuv, vesilahustuv
waterspout	vesipüks
water-supply	veevarustus
water supply	veevarustus
water table	pinnasevee tase, põhjavee tase
water tap	kraan
watertight	vettpidav, veekindel
watertower	veetorn
water vole	mügri (Arvicola amphibius)
waterway	veetee
water-wheel	vesiratas
water wings	ujumislestad
watery	vesine, märg
watery grave	märg haud
watt	vatt (võimsusühik)
wattle	lott (linnul: kukk, kalkun), põimtara
wave	laine ; hõljutama, lehvitama
wave a wand	imet tegema
wave band	laineala
waveband	laineala
wavebands	lainealad
waved	laineline, lainjas
wave-form	signaali kuju
wave form	signaali kuju
waveform	signaali kuju
waveforms	signaalikujud
waveform's	signaali kuju
waveguide	lainejuhe
wavelength	lainepikkus
wavelengths	lainepikkused
wavemeter	lainemõõtur
waveoff	ärasaatmine
waveoffs	ärasaatmised
wave pattern	lainemuster
waver	kõhklema (lööma), kõikuma, kõrvale kalduma
waverable	kõhklev, kõrvalekalduv
waverer	kõhkleja
waverers	kõhklejad
wavering	kõhklemine, kõrvale kaldumine ; kõrvalekalduv
waveson	triivvrakk
wavy	laineline
wax	vaha ; vahatama, kasvama (Kuu), (millekski) saama
wax and wane	kasvama ja kahanema
waxbill	vahanokk, vahanokk-amadiin (Estrilda astrild)
waxbills	amadiinlased (Estrildidae)
waxcomb	vahakärg
waxed paper	vahapaber
wax end	pigitraat
wax figure	vahakuju
wax gland	vahanääre (mesilasel)
waxing moon	kasvav kuu
wax paper	õlipaber
waxwing	siidisaba (Bombycilla garrulus)
waxwings	siidisabalased (Bombycillidae)
way	tee ; liigagi
way back	ammu aega tagasi
wayback	kunagi ammu, hulk aega tagasi, ammust aega
wayfaring-tree	villane lodjapuu (Viburnum lantana)
wayfaring tree	villane lodjapuu (Viburnum lantana)
waylay	varitsema, venitama, (eesmärgist) kõrvale juhtima
way of life	eluviis, elutee
way of looking at things	vaatenurk, maailmavaade
way of thinking	mõtteviis
way-out	harjumatult uudne, ülimoodne, avangardne
way out	harjumatult uudne, ülimoodne, avangardne ; väljapääs
way out of a wet paper bag	isegi kui puust ja punaselt ette teha
way point	kontrollpunkt
ways and means	teed ja vahendid, vahendid ja abinõud
Ways and Means	teed ja vahendid, vahendid ja abinõud
waystage	(keele) elemetaaroskus
wayward	tõrges
wayworn	rännakust kurnatud, (pikast teest) väsinud
WC	WC, tualett, veeklosett, veekäimla
we	me, meie
weak	nõrk
weak as water	nääpsuke, äbarik ; pehme nagu vaha, järeleandlik
weaken	nõrgenema, nõrgendama
weakening gradation	nõrgenev astmevaheldus (ka normaalne astmevaheldus)
weakening gradational change	nõrgenev astmemuutus
weakening of underlying stem	alustüve astme nõrgenemine
weaker	nõrgem
weaker vessel	õrnem pool (naine)
weakest	kõige nõrgem
weak-graded stem	nõrgaastmeline tüvi
weak interaction	nõrk vastasmõju
weak-kneed	aravereline
weakly	nõrgalt
weakness	nõrkus
weakness of the flesh	nõder ihu, ihunõtrus
weak point	nõrk koht, hell koht
weal	heaolu, marrastus
weald	mets, metsane ala
wealth	rikkus
wealth tax	omandimaks
wealthy	jõukas
wean	võõrutama, rinnast võõrutama
wean from	võõrutama, harjumusest lahti saama
wean on	(lapsest saadik) (millegagi) harjunud, üles kasvanud
weapon	relv
weaponization	relvaks muutmine, relvana kasutamine
weaponless	ühegi relvata, relvitu
weaponry	relvastus
weapons of mass destruction	massihävitusrelvad
wear	kandma (riietust), kulutama
wear a mask	maski kandma
wear and tear	kulumine, amortisatsioon ; kulunud
wear and tear of life	eluvintsutused
wear and tear of time	ajahammas
wear away	(kingi, riideid) ära kandma, maha kuluma, hajuma
wear down	kuluma, väsima
wearer	kandja (er riietuse)
wearily	väsinult, kurnatult
weariness	väsimus
weariness of life	eluväsimus
wearing	kandmine, halssimine
wear off	kuluma, haihtuma, üle saama
wear on	(aeg) venima
wear out	läbi kuluma, välja kurnama, ära kandma
wear out your welcome	külalislahkust kuritarvitama, tüütuks muutuma
wearproof	kulumiskindel
wear ship	(purjelaev) tuulest ära pöörama
wear the pants	majas peremees olema, püksid (kellegi) jalas olema
wear thin	õhukeseks kuluma, õhukeseks kulutama
wear well	nooruslik välja nägema, hästi vastu pidama
weary	kurnatud
wearying	kurnav, väsitav
weary of life	elust väsinud
wear your heart on your sleeve	siira hingega olema
weary to death	surmani väsinud
weasel	nirk
weaselskin	rahakott
weasel word	libe ja kõrvalepuiklev sõna
weasel-worded	libedate ja kõrvalepuiklevate sõnadega
weasel words	libedad ja kõrvalepuiklevad sõnad
weather	ilm ; tuulepoolne ; (olukorrast) välja tulema
weather balloon	meteoroloogiline õhupall
weatherboard	pealtuuleparras
weather-bound	< weatherbound
weatherbound	tormivangis
weather bureau	(Am) ilmajaam
weathercast	ilmaeenustus
weather centre	(Br) ilmajaam
weathercock	tuulelipp
weather deck	ülatekk
weathered	ilmastikust kulunud, päevinäinud
weather eye	ilmamuutuste jälgimine, tähelepanelikkus
weather-fast	ilmastikukindel
weather forecast	ilmaennustus, ilmateade
weatherglass	baromeeter
weathering	murenemine, kulumine, erosioon
weatherly	vastutuult seilata suutev
weather map	ilmakaart
weatherproof	ilmastikukindel
weather report	ilmateade
weather ship	ilmalaev
weather side	pealtuulekülg
weather station	(ilmastiku) mõõtejaam, ilmajaam
weather strip	tiht, (ukse)vilt
weatherstrip	tihtima
weather stripping	tihtimine, tihtimisriba, aknatihendi
weatherstripping	tihtimine, tihtimisriba
weather the storm	tormi üle elama, kriisist üle saama
weather vane	tuulelipp
weave	kuduma ; kude
weaver	kuduja, kangur, kangurlind
weaving	kudumine (kanga) ; tuikuv
web	võrk, veeb, kude, (uju)lest
Web	veeb
web-based	veebipõhine
webcam	veebikaamera
web-footed	- (hargnevate varvastega, nt hani, geko vm loom)
webinar	veebiseminar
weblog	veebipäevik
web maker	veebisepp
webmaker	veebisepp
webmaster	veebihaldur
webpage	veebileht, veebilehekülg
web server	veebiserver
web site	veebisait
website	veebisait
Webster	Webster
wed	abielluma, paari minema
Wed	N (neljapäev)
Weddell Sea	Weddelli meri
wedding	pulm, laulatus
wedding anniversary	pulmaaastapäev
wedding cake	pulmatort
wedding chest	pruudikirst, kaasavarakirst
wedding customs	pulmakombed, pulmakombestik
wedding day	pulmapäev
wedding festival	pulmapidu
wedding gown	pruutkleit, pruudikleit
wedding guest	pulmaline, pulmavõõras
wedding party	pulmapidu
wedding ring	abielusõrmus
weddings	pulmad
wedding song	pulmalaul
wedge	kiil, caron, (kiiljas) linnuparv ; kiilukujuline
wedged	kiiljas, kiilukujuline
wedlock	abielu (seisus)
wednesday	kolmapäev
Wednesday	kolmapäev
wee	kusema ; kusi
weed	rohi, ürt, vetikas, umbrohi, marihuaana ; rohima
weeding	rohimis-
weedkiller	umbrohumürk
weed-killing	umbrohutõrje
weedlike	umbrohu-sarnane
weedman	kanepisuitsetaja
weed out	(umbrohtu) välja kitkuma
weedy	rohtukasvanud, umbrohune, sagris, nõrguke
week	nädal
weekday	nädalapäev
weekend	nädalalõpp
week-long	nädalane, nädalapikkune
weekly	nädala- ; nädalaleht
weekly newspaper	nädalaleht
ween	(arh.) arvama, eeldama
weenie	viiner, memmekas
weeny	tilluke
weep	nutma
weep for	karjuvalt nõudma, taga nutma
weeping	nuttev, immitsev ; nutmine, nutt
weeping willow	Babüloni remmelgas (Salix babylonica)
weeps	nutuhoog
weepy	nutune, pisarais
weewee	pissima ; piss
weft	koelõim, kangas, (paju)vits
Wehrmacht	Wehrmacht, veermaht
Weichsel	Weichsel
Weichselian	Weichseli
Weigela	veigela
weigh	kaaluma
weigh anchor	ankrut hiivama
weighbridge	platvormkaal
weigh down	maadligi suruma, rõhuma
weigh in	kaalukontrolli läbima, pagasit kaaluma
weighing instruments	kaalumisriistad
weighing machine	kaalumisseade
weigh on	rõhuma, (murena) koormama
weigh out	(džoki koos sadulaga) kaalukontrolli läbima
weight	kaal ; kaaluma
weighting	kaal (matemaatikas)
weightless	kaalutu
weight-lifter	tõstja (sportlane)
weight-lifting	tõstmine, tõstesport
weights	kaaluvihid
weigh up	läbi kaaluma
weigh your words	sõnu kaaluma
weimaraner	Weimari linnukoer
weir	kalatõke
weird	veider, kummastav, üleloomulik
weisenheimer	< wisenheimer
welcome	tere tulemast ; tervitama
weld	värvireseeda (Reseda luteola) ; keevitama
welder	keevitaja
welding	keevitus, keevitamine
welfare	hoolekanne, heaolu
welfare payments	riiklik sotsiaaltoetus
welfare state	heaoluriik
welkin	taevavõlv, pilv
well	hästi, igati ; kaev, (tindi)pott, allikas ; tulvama
we'll	- (= we will)
welladay	oh
well-advised	hästi läbimõeldud
well and good	heakene küll, olgu pealegi, väga kena, väga tore
well-armoured	tugeva turvisega, hästi kaitstud, paksu nahaga
well begun is half done	hea pealehakkamine on pool võitu (Aristoteles)
well-behaved	korralik, kasvatatud, heade kommetega
well-being	heaolu
wellbeing	heaolu
well boat	sumplaev
well-boring	kaevupuurija
wellborn	kõrgestisündinud
well-bred	hästi toidetud, hea kasvatusega, haritud
well-built	hea kehaehitusega
well-defined	täpselt defineeritud
well-deserved	ärateenitud
well-deserved punishment	teenitud karistus
well-designed	hästi kavandatud
well-disputed	selgeksvaieldud
well-documented	põhjalikult kirjeldatud, hästi dokumenteeritud
welldoer	heategija
welldoing	õige tegu
well-done	läbiküpsenud
well-drain	settekaev ; kuivenduskaevusid rajama
well-dressed	hästiriietatud
well enough	küllalt hästi, küllaltki hea
well-equipped	hästivarustatud
Wellerism	wellerism (ütlusele 'ütles ... kui ...' lisamine)
well-favored	nägus
well-filled	kasulikult veedetud
well-formed	reeglipärane, grammatiline, õige
well-founded	põhjendatud
well-furnished	meeldivalt sisustatud
well-generaled	hästijuhitud (väed)
well-grounded hope	põhjendatud lootus
wellhead	allikas
well-heeled	asine, hästivarustatud, hambuni relvastatud
wellhole	trepišaht
wellie	kummik (= wellington)
well-informed	hästi informeeritud, teadlik
wellington	kummik
Wellingtonia	sekvoia
Wellingtons	säärsaapad
well-intentioned	heade kavatsustega, heasoovlik
well-known	tuntud, üldtuntud
wellknown	tuntud, üldtuntud
well-known fact	teada-tuntud tõsiasi
well-liking	heas korras
well-mannered	kombekas
well-meaner	heasoovija
well-meaning	head sooviv
well-meant	heasoovlik
well-natured	lahke
wellness	heaolu
wellness tourism	heaoluturism
well-nigh	peaaegu
well-off	heal järjel
well off	jõukas, heal järjel ; soodsates tingimustes
well out of	õnnelikult pääsenud, õnnelikult vabanenud
well over	tublisti rohkem kui
well-paid	hästi tasustatav
well-planned	häst läbi mõeldud
well-prepared	hästi ette valmistatud, ettenägelik
well-proportioned	tasakaalus, proportsionaalne
well-read	õpetatud, sügavate teadmistega
well-read in	sügavate teadmistega (milleski)
well-respected	väga lugupeetud
well room	allikatuba (sanatooriumis), pilss
wells	allikad, kümbluskoht
well-seen	paljunäinud, kogenud
well-set	hästi paigas, hea ehitusega
well sinker	kaevumeister
well-sped	edukas
well-spoken	hästi öeldud
wellspring	allikas
well-taken	sulatõsi
well-thought-of	lugupeetud, kõrgelt hinnatud
well-to-do	edukas, jõukas ; heal järjel
well to live	heal järjel
well-tried	läbiproovitud
well up	(veega) täituma
well water	kaevuvesi
well-willer	heasoovija
well-wish	õnnesoov
well-wisher	heasoovija
well-worn	kulunud, ärakantud
well worth	igati väärt
well worth the money	oma hinda väärt
well-written	hästi kirjutatud
wels	säga (Silurus glanis)
Welsh	kõmri keel, uelsi keel
Welshman	uelslane
Welshwoman	uelslanna
welt	rant
weltanschauung	maailmapilt, maailmavaade
Weltanschauung	< weltanschauung
welter	pööris, mäslemine, tohuvabohu ; pekslema
weltschmerz	maailmavalu, melanhoolia
Welwitschia	velvitiia
wench	neidis, tänavatüdruk, neegritar
wend	(oma teel) edasi liikuma
wend your way	rühkima, edasi kulgema
went	< go
Wentworth	Wentworth ; Wentworthi
wept	< weep
were	olid
were-animal	libaloom
werefox	libarebane
were it not that	kui poleks
werewolf	libahunt
wergild	veretasu (lepitusraha ohvri perekonnale)
west	lääs ; lääne- ; läände
West	lääs ; lääne-, Lääne-
West Atlantic	Lääne-Atlandi
West Bank	Jordani Läänekallas
West Bengal	Lääne-Bengal
West Berlin	Lääne-Berliin
westbound	läänesuunaline, läände suunduv
West End	West End
wester	lääne poole liikuma
western	lääne, läänepoolne ; vestern
Western Australia	Lääne-Austraalia
Western Bug	Bug
westerner	läänlane, (Am) lääneranniku elanik
Western Europe	Lääne-Euroopa
Western Ghats	Lääne-Ghatid
western hemisphere	läänepoolkera
westernise	läänelikuks muutma
Western Isles	Läänesaared, Hebriidid
westernize	läänelikuks muutma
Western Sahara	Lääne-Sahara
Western Samoa	Samoa
West Flanders	Lääne-Flandria
West Frisian	Lääne-Friisi saared
West Germany	Lääne-Saksamaa
west indies	lääne-india
West Indies	Lääne-India
West Irian	Irian Jaya
West New Guinea	Irian Jaya
west-northwest	lääneloe
west-north-west	lääneloe
Westphalia	Westfalen, Vestfaal
West Point	West Point (sõjaväeakadeemia)
Westpondian	lääne pool lompi (iroon. ameerikalik)
West Sussex	Lääne-Sussex
West Virginia	Lääne-Virginia
West Virginian	lääne-virginialane
westward	läänepoolne ; lääne pool, läände
West Yorkshire	Lääne-Yorkshire
wet	märg, higine ; märjaks tegema, püksi laskma
wetback	immigrant (er tööotsija Mehhikost)
wet behind the ears	märgade kõrvatagustega
wet-blanket	tujurikkuja, meeleolu rikkuja, külm dušš
wet blanket	tujurikkuja, meeleolu rikkuja, külm dušš
wet dream	märg unenägu (orgasmiga lõppev unenägu)
wet foot/dry foot	merel tabatud/maale jõudnud (Am Kuuba immigrant)
wether	kohioinas, oinas
wetland	märgala
wetlands	märgala, roostik
wetness	niiskus
wet-nurse	ammeks olema, rinnaga toitma, poputama
wet nurse	amm
wet paint	värske värv
wet-suit	türp, kummiülikond
wet suit	türp, kummiülikond
wet the bed	voodisse pissima, voodit märgama
wetting	pissimine, niisutamine
wet with sweat	higist märg
wet your whistle	kurku kastma
WG	töörühm
whack	lajatama, mättasse lööma ; hoop, laksakas, osa
whacked	(Br) omadega läbi
whacking	peksmine (kehaline karistus) ; tohutult ; üüratu
whack off	pihku lööma
whack up	(er röövsaaki) jagama
whale	vaal, valaskala
whaleboat	vaalapüügilaev, vellboot
whalebone	vaalaluu
whale catcher	vaalapüüdja, vaalaküttimislaev
whale fisher	vaalapüüdja
whale fishery	vaalapüük
whale of a difference	tohutu suur erinevus
whaleship	vaalapüügilaev
whaling	vaalapüük
whaling fleet	vaalapüügilaevastik
whammy	nõidus, needus
wharf	kai, laadimisplatvorm
wharfage	kaimaks
what	mis, mida, milline
what a life	on vast elu
what did I do to deserve this	mille eest (mind küll karistatakse)
what does it matter	mis tähtsust sel on
what do I care	mis mul sellest
what do you know	etskae
whatever	mis iganes, mida iganes
whatever comes	tulgu mis tuleb
whatever may happen	ükskõik mis võib juhtuda
whatever the cost	ükskõik mis hinnaga, iga hinna eest
what for	misjaoks
what gives	mis värk on (mis on teoksil?)
what-have-you	või mis sul ka poleks
what if	aga kui, mida teha kui, mis saab siis kui
what in hell	mida põrgut
what in the world	misasi
what is done	mis tehtud
whatman	vatman (paber)
whatnot	ja nõnda edasi, ja mida kõike veel, ja kõike muud
what on earth	mida ometi
what's done is done	mis tehtud see tehtud
what's-his-face	mis ta nimi oligi
what's-his-name	mis-ta-nimi-nüüd-oligi
what's in it for	mis kasu (kellelgi) sellest on
what's it to you	mis see sulle korda läheb
whatsoever	mis iganes
what's the big idea	mis mõttega (sa sea teed?)
what's the difference	mis vahet siin on
what's up	mis uudist
what's what	olulised asjad, asjade seis, asja tuum
what's your poison	mida sa jood (millist alkoholi eelistad?)
what the hay	kama kaks, ükstapuha
what the heck	mida põrgut
what the hell	mida põrgut
what will be will be	mis tuleb see tuleb
wheal	kubel
wheals	kublad, sügelised
wheat	nisu
wheat belt	viljakasvatusvöönd
wheat bread	nisuleib
wheatear	kivitäks (Oenanthe)
wheat field	nisupõld
wheatgerm	nisuiva
wheatgrass	rohi (Agropyron)
wheat smut	jahukaste, nisu nõgihaigus
Wheatstone bridge	sildlülitus
wheedle	(välja) meelitama, mett mokale määrima
wheedling	keelitamine
wheel	ratas, velg, ketas
wheel and deal	keelitama ja mahitama, manööverdama ja slikerdama
wheelbarrow	käsikäru, järelkäru, haagis
wheelbase	telgede pikivahe, teljevahe
wheel chair	ratastool
wheelchair	ratastool
wheelclamp	(auto) rattaklamber, rattalukk
wheeled	ratas-, ratastega
wheeled vehicle	ratassõiduk, ratasveok
wheel formula	telje valem
wheelhouse	roolikamber
wheelie	esiratta tõste
wheelman	roolimees
wheel-mounted	ratastel, ratas-
wheel of fortune	õnneratas
wheels	rattad, auto
wheels within wheels	salajased asjaolud, keeruline masinavärk
wheelwork	hammasajam
wheeze	kähinal hingama, hingeldama ; kähin, (vana) nali
wheezing	hingeldav
whelk	tõrikodalane (Buccinidae, söödavad teod), karbunkul
whelm	enda alla matma, kummuli keerama
whelming	kummuli keeratud, enda alla mattev
whelve	(millegi õõnsaga) katma
when	kui ; millal, kunas
when all is said and done	kõige lõpuks
whence	kust
whencesoever	kust iganes
whenever	iga kord, millal iganes
whenever you like	millal sa tahad, ükskõik millal sa tahad
whenever you wish	millal sa soovid, ükskõik millal sa soovid
when in Rome do as the Romans 	järgi kohalikke kombeid, metsas ulu koos huntidega
when it rains it pours	alati liiga palju või liiga vähe
when the chips are down	otsustaval hetkel
when the mood strikes	kui tuju tuleb
when the shit hits the fan	kui põrgu lahti läheb
where	kus
whereabouts	asupaik
whereas	samal ajal kui
whereby	mille läbi, kusjuures
wherein	kus, mille käigus
where it's at	kus on kõige põnevam, kus on kõige etem
where there's smoke there's fi	kus suitsu seal tuld
where the rubber hits the road	kui asjaks läheb
where the shoe pinches	kust king pigistab
whereupon	mille tõttu, millel
wherever	kus iganes, kuhu iganes
wherewithal	vahendid
whet	ihuma, (isu) teravdama, ärgitama ; suupiste
whether	kas
whether or no	kas ... või mitte ; nii või teisiti, igal juhul
whetstone	luisk
whetstones	luisk
whet the appetite	isu peale ajama
whet the sword	mõõka teritama
whet your appetite	isu äratama, hammast verele ajama
whew	ohh (kergendusohe, üllatusvile vms)
whey	(piima)vadak
wheyface	kaame nägu, kahvanägu
wheyfaced	näost kaame
which	mis, missugune
whichever	ükskõik milline, millist tahes
which way the wind blows	kustpoolt tuul puhub
whiff	tuuleviirg, õrn jälg, mahv ; pahvakatena tulema
while	samal ajal kui, kuna
while away the time	aega parajaks tegema, aega surnuks lööma
while on the subject	kui me juba asjast räägime
whilom	kunagine, endine ; varem
whilst	kuna, kuigi, kuniks
whim	kapriis
whimbrel	väikekoovitaja (Numenius phaeopus)
whimper	nuuksuma, tihkuma, ohkima ; ägin, nuukse
whimsical	veider, pentsik, tembutav
whimsy	kummaline mõte, uitmõte
whin	astelhernes, basalt
whinchat	kadakatäks (Saxicola rubetra)
whinchats	kadakatäksid (Saxicola rubetra)
whine	vinguma
whinge	(Br) virisema
whining	vinguv, virisev
whinny	hirnuma
whinstone	(Br) basalt
whiny	viril, vinguv
whip	piits, nuut ; piitsutama, piitsa andma
whipcord	piitsanöör
whiplike	piitsjas
whipped	vahustatud
whipped cream	vahukoor
whipper-snapper	tühikargaja, ennasttäis tühisus
whippersnapper	kollanokk, poisike
whipping	vahu- ; piitsutamine, keretäis, takling, palistus
whipping boy	peksupoiss
whip-round	(Br) korjandus, kiire rahakogumine
whipsaw	kahemehesaag, suursaag ; kahekesi saagima
whipsaw	mõlemat pidi halb ; kahelt poolt ründama, purustama
whir	tuhisema, tuhinaga liikuma ; vihin
whirl	keeris, pööritus ; ringi käima, tiirutama, vonklema
whirligig	vurr, karussell, püsimatu, (sündmuste) keeris
whirligig of time	elusaatuse muutlikkus
whirlpool	keeris
whirlpool bath	mullivann
whirlpool nebula	spiraalne udukogu
whirlwind	tuulispask, keeristorm
whisk	vispel, vahusti
whiskered tern	habeviires (Chlidonias hybridus)
whiskey	(Iiri, Am) viski
whisky	(Šoti, Br) viski
whisper	sosistama ; sosin
whistle	vilistama ; vile
whistler	vilistaja, ümiseja (Marmota), sõtkas, vilin
Whit	nelipühade nädal
white	valge (värvus, nahavärv, muna-, vein, kahvatu)
White Army	valgekaart
white-backed	valgeselg-
whitebait	kalamaimud (toiduna)
white-billed	tundra
white blood cell	valge verelible
white bread	sai
white bream	nurg
white campion	valge pusurohi
whitecap	(laine) vahuhari
white-capped	vahutavate laineharjadega, vahuharjus
white christmas	lumine jõul
white clover	valge ristik (Trifolium repens)
whitecoat	(Kan) hülgepoeg
white-collar	valgekraeline (kvalifitseeritud tööjõud)
white-collar worker	valgekrae
white cross	(narkootikumina) amfetamiin
white daisy	härjasilm (Leucanthemum vulgare)
whited sepulchre	silmakirjateener
white dwarf	valge kääbus (täht)
white dwarf star	valge kääbustäht
white elephant	valge elevant (tarbetu kuid kallis ja kulukas omand)
white-eye	tikat (lind, Zosterops)
White Fang	Valgekihv
white feather	arguse märk
whitefish	siig, merisiig, peled
white flag	valge lipp
white-fronted goose	suur-laukhani (Anser albifrons)
white gold	valge kuld (sulam plaatina, nikli, hõbeda v muuga)
white goods	kodumajapidamismasinad, lauapesu
white-haired	hallipäine
whitehead	vistrik
white-headed duck	stepi-händpart (Oxyura leucocephala)
white hole	valge auk
white hope	paljulubav võistleja
white horse	valge hobune, kokaiin, (ülek) lainehari
white-hot	valge hõõgumiseni kuumutatud, kirglik
White House	Valge maja
white knight	valge rüütel, päästja
white-knuckle	verdtarretav (< kramplikult millestki kinni hoidma)
white lead	pliivalge
white lie	süütu vale (enda ees õigustatav), pisivale
white line	(maantee) telgjoon
white lining	teemärgistus
white magic	valge maagia, hea nõidus
white man	valge
white meat	valge liha (linnu, vasika, jänese vms liha)
white metal	babiit
White Nile	Valge Niilus
whitening	valgendav
white noise	valge müra
white oak	valge tamm (Quercus alba)
whiteout	lumetorm
white paper	valge raamat
white pepper	valge pipar
white-rumped swift	sirppiiritaja (Apus caffer)
White Russia	Valgevene
white sauce	jahukaste, piimakaste
White Sea	Valge meri
white-shoe	eliit (pangandus, advokatuur vms) ; valgeking
white-skinned	valgenahaline
white slave	valge ori (prostituudiks sunnitud naine)
whitesmith	plekksepp
white space	tühemik
whitespace	tühemik
white spirit	(Br) lahusti, värvivedeldi
White's thrush	kirjurästas (Zoothera dauma)
white stork	valge-toonekurg (Ciconia ciconia)
white supremacy	valge rassi üleolek
white-tailed eagle	merikotkas (Haliaeetus albicilla)
white-tailed sea eagle	merikotkas (Haliaeetus albicilla)
whitethorn	viirpuu (Crataegus)
whitethroat	põõsalind, pruunselg-põõsalind (Sylvia communis)
white tie	valge kikilips, õhtuülikond
white vitriol	tsinksulfaat
White Volta	Valge Volta
whitewash	lubjapiim ; lubivärvima, üle võõpama, puhtaks pesema
whitewashed	lubjatud
white-water	kärestiku-
white water	vahutav vesi, madal vesi
whiteweed	härjasilm (Leucanthemum vulgare)
white whale	valgevaal, beluuga, beluhha
white-winged lark	valgetiib-stepilõoke (Melanocorypha leucoptera)
white wolf	valge hunt
whitewood	pärn (Tilia), tulbipuu, lehtpuupuit
whither	kuhu
whiting	heik, merlang, tursk
whiting pollack	< pollack
whitish	valkjas
Whitsun	nelipühade nädal
Whitsunday	suvistepüha, nelipüha
Whitsun Monday	nelipühade 2. püha
Whitsuntide	nelipühad, suvisted
who	kes
WHO	WHO (Maailma Tervishoiuorganisatsioon)
whoa	tpruu
who cares	keda see huvitab, mul ükskõik
whodunit	mõrvalugu, kriminull
whodunnit	mõrvalugu, kriminull
whoever	kes tahes
whole	terve, kogu, täis, päris- ; tervik ; täiesti
whole attention	täis tähelepanu
whole ball of wax	kogu täis, kõik
whole brother	pärisvend (ühiste vanematega)
whole caboodle	kogu kupatus, kõik viimseni
wholefood	looduslik toit ; tükeldamata (köögiviljad vms)
whole-hearted	täielik, ihu ja hingega, puhtsüdamlik
wholehearted	täielik, ihu ja hingega, puhtsüdamlik
wholeheartedly	ihu ja hingega, täiest hingest, puhtsüdamlikult
whole-length	täispikkuses (portree, kuju)
wholemeal	(Br) täistera- (kliidega jahvatatud nisujahust)
whole milk	(töötlemata) lehmapiim, koorimata piim
wholeness	terviklikkus
whole nine yards	kõik
whole note	täisnoot
whole number	täisarv
wholesale	hulgimüük (vast: retail) ; laialdane
wholesale dealer	hulgimüüja
wholesale price	hulgihind
whole shebang	kogu kupatus
whole shooting match	kogu kupatus
whole show	kõige tähtsam tegelane
wholesome	terviklik, tervislik, mõistlik, (laev) tormi taluv
wholesomely	tervelt, tervislikult, kasulikult, mõistlikult
wholesomeness	tervislikkus, kasulikkus, mõistlikkus
whole-souled	üllas, pühendunud
whole time	täisaeg
whole-timer	täisajaga töötaja
whole-wheat	täistera-
whole wheat bread	täisteraleib
whole wide world	kogu laias maailmas
wholly	täielikult
whom	keda
whomever	keda iganes, ükskõik keda
whooper swan	laululuik (Cygnus cygnus)
whooping	hõiskav, läkastav
whooping cough	läkaköha
whooping crane	kisakurg (Grus americana)
whoops	ups, oi-oi
whopper	purakas, lausvale
whopping	pirakas, suur ; äärmiselt, maani (purjus)
whore	hoor ; hoorama
whorehouse	litsimaja
whoremonger	naisteskäija
whorishly	libu kombel, litsakalt
whortleberry	pohl
whose	kelle
wh-question	mis-küsimus, laiemat vastus nõudev küsimus
why	miks
whyfor	milleks, miks
why not	miks mitte
wick	taht (küünla)
wicked	õel, nõialik, ränk, kuri, pahatahtlik
wickedly	õelalt, paheliselt
wickedness	pahelisus
wicker	vitstest (punutud), korv-, punumis-
wicker basket	vitstest korv
wickerware	punutised, vitstest käsitööesemed
wickerwork	vitspunutis
wicket	(väike) värav, külgvärav, aknake, lüüs
wick trimmers	tahikäärid
widdershins	tagurpidi, vastupäeva, tavalisest erinevas suunas
widdy	(Šoti) võllas, silmus
wide	lai
wide-angle	lainurk-
wideband	lairiba
wide-brimmed	laiaääreline (müts)
wide-eyed	süütute silmadega, suurte silmadega ; pärani silmi
widely	laialdaselt, laialt
widen	laienema, laiendama, pärani minema
widening	laienemine, laiendamine
widening of meaning	tähenduse laienemine
widen the distance	vahemaad suurendama
wide of the mark	kaugelt mööda
wide-open	ilma kaitseta, täie gaasiga, kuritegevusele soodne
wide open	ilma kaitseta, täie gaasiga, ristseliti lahti
wider	laiem
wide-reaching	kaugeleulatuv
wide-spread	laialdane
widespread	laialdane
